sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
gRNA_2383	Csf3r	4.953/9.9834/2490.8	160.29/2849/508.79	9.9834	508.79	5.5365	3.0773e+06	204.76	34.859	1	2.0849e-266	4.1697e-266	5.5216e-262	True
gRNA_9544	Prex2	97.078/12.706/13.017	16.872/1343.4/425.17	13.017	425.17	4.9262	3533.2	295.14	23.99	1	2.2555e-127	4.511e-127	2.9867e-123	True
gRNA_14263	Ptprd	692.42/1130.8/3744.3	7621/7227/2914.5	1130.8	7227	2.6749	3.5112e+06	1.4496e+05	16.012	1	5.2864e-58	1.0573e-57	4.6668e-54	True
gRNA_11278	Smad3	846.96/886.71/1758.8	6678.3/5920.5/1478	886.71	5920.5	2.7378	3.8108e+05	1.033e+05	15.662	1	1.3771e-55	2.7542e-55	9.1179e-52	True
gRNA_1191	Axin1	2873.7/2955.1/5610.3	15048/14305/2999.1	2955.1	14305	2.2749	3.5284e+06	5.5293e+05	15.264	1	6.6587e-53	1.3317e-52	3.527e-49	True
gRNA_5543	Insr	565.63/418.4/432.62	714.97/3938.1/3352	432.62	3352	2.951	8946.4	38028	14.971	1	5.785e-51	1.157e-50	2.5535e-47	True
gRNA_12312	Tek	59.436/181.52/111.03	78.035/1385.2/1219.2	111.03	1219.2	3.4452	3815.2	5738.8	14.628	1	1.0044e-48	2.0088e-48	3.8001e-45	True
gRNA_11850	Spen	688.46/505.52/501.54	3509.5/4511.9/905.79	505.52	3509.5	2.793	16741	47234	13.822	1	9.5136e-44	1.9027e-43	3.1495e-40	True
gRNA_4864	Gnas	473.5/543.64/824.67	3696.1/5870.3/958.61	543.64	3696.1	2.763	41947	52264	13.789	1	1.4877e-43	2.9755e-43	4.3779e-40	True
gRNA_13218	Zfhx3	69.342/476.48/216.69	112.83/1811.8/1904	216.69	1811.8	3.0578	44601	14534	13.231	1	3.0194e-40	6.0389e-40	7.9892e-37	True
gRNA_1330	Bap1	2071.3/1125.4/1191.4	6411.5/8796.3/1419.9	1191.4	6411.5	2.427	3.8929e+05	1.5589e+05	13.221	1	3.3183e-40	6.6365e-40	7.9892e-37	True
gRNA_1969	Cd79a	845.97/927.55/2350	5109.2/4863.2/2820.4	927.55	4863.2	2.3891	1.0149e+06	1.0998e+05	11.867	1	8.7749e-33	1.755e-32	1.9366e-29	True
gRNA_4703	Fyn	718.18/1986.7/2090.4	8621.8/9050.5/1924.3	1986.7	8621.8	2.1171	8.0995e+05	3.1789e+05	11.768	1	2.8517e-32	5.7034e-32	5.8095e-29	True
gRNA_2843	Dot1l	576.53/868.56/683.78	3767.8/4908.4/989.41	683.78	3767.8	2.4604	22824	71926	11.499	1	6.6786e-31	1.3357e-30	1.2634e-27	True
gRNA_4163	Fbxw7	932.15/1131.8/2382.9	5327.4/6905.8/1436.6	1131.8	5327.4	2.2339	8.0257e+05	1.4512e+05	11.014	1	1.6387e-28	3.2773e-28	2.8932e-25	True
gRNA_7521	Myod1	544.83/1529.3/836.15	4185.4/5959/1515.8	836.15	4185.4	2.3222	2.8265e+05	95186	10.856	1	9.3925e-28	1.8785e-27	1.5547e-24	True
gRNA_5241	Igf1r	2223.9/1588.3/4172.3	9784.9/8839.7/1734.1	2223.9	8839.7	1.9904	2.1002e+06	3.7201e+05	10.847	1	1.0307e-27	2.0614e-27	1.6057e-24	True
