sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
gRNA_3666	Ercc2	0/0/37.355	30.523/100.01/8.6972/0	0.73246	19.61	3.5725	697.71	1.2761	16.711	1	7.3176e-63	1.4635e-62	1.566e-59	True
gRNA_3703	Ercc2	67.62/145.23/71.049	923.73/648.31/1309.6/159.8	71.049	786.02	3.4494	2757.3	4282.4	10.926	1	5.0488e-28	1.0098e-27	5.4022e-25	True
gRNA_3084	Ep300	11.76/86.429/21.974	218.48/241.3/362.8/223.3	21.974	232.3	3.3441	2129.4	445.4	9.9659	1	1.2628e-23	2.5257e-23	9.0082e-21	True
gRNA_2474	Ctnnb1	79.38/253.62/53.47	427.33/872.17/715.66/2005.5	79.38	793.91	3.3059	15515	5311.6	9.8041	1	6.2685e-23	1.2537e-22	3.3536e-20	True
gRNA_7812	Nfe2	113.19/209.7/106.94	363.07/1004.2/1192.8/1257.2	113.19	1098.5	3.2673	4676.3	10593	9.5732	1	5.997e-22	1.1994e-21	2.5667e-19	True
gRNA_12164	Syk	101.43/63.051/76.176	846.62/629.71/539.23/1523.9	76.176	738.16	3.2597	405.02	4903	9.4541	1	1.8909e-21	3.7818e-21	6.7442e-19	True
gRNA_11315	Smad4	0/93.513/27.833	234.55/324.45/259.67/88.896	27.833	247.11	3.1052	2544.3	700.41	8.2855	1	6.8917e-17	1.3783e-16	2.1069e-14	True
gRNA_10342	Raf1	63.21/97.764/38.088	573.52/498.88/711.93/271.98	63.21	536.2	3.0646	912.55	3413.2	8.096	1	3.3002e-16	6.6003e-16	8.828e-14	True
gRNA_11607	Smo	154.35/277.71/142.83	1539/1042.5/1409/702.7	154.35	1225.7	2.9812	7674.8	19386	7.695	1	8.1659e-15	1.6332e-14	1.9417e-12	True
gRNA_4782	Gata3	64.68/156.56/54.202	578.34/618.66/452.26/110.06	64.68	515.3	2.9747	4276.2	3568.9	7.543	1	2.6692e-14	5.3383e-14	5.712e-12	True
gRNA_6087	Keap1	127.89/313.13/138.43	735.77/794.84/1199/996.91	138.43	895.87	2.6853	15314	15680	6.0489	1	8.4258e-10	1.6852e-09	1.6392e-07	True
gRNA_1000	Atm	295.47/342.88/317.15	1307.7/2882.2/929.36/2691.2	317.15	1999.5	2.6525	566.08	79066	5.9829	1	1.2597e-09	2.5194e-09	2.2464e-07	True
gRNA_3011	Egfr	532.14/614.92/602.81	2980/3709.1/3577/3565.4	602.81	3571.2	2.5646	2570.8	2.7743e+05	5.6356	1	9.9813e-09	1.9963e-08	1.6431e-06	True
gRNA_10596	Ret	147/269.91/184.58	1209.7/985.55/1468.6/1006.4	184.58	1108.1	2.5792	4347.1	27478	5.571	1	1.4602e-08	2.9205e-08	2.2321e-06	True
gRNA_7511	Myd88	170.52/221.74/75.443	819.31/786.12/1222.6/1085.8	170.52	952.56	2.4749	5831.5	23543	5.0968	1	1.9928e-07	3.9856e-07	2.8431e-05	True
gRNA_9105	Pik3r2	848.19/597.21/541.29	2215.3/2902/3598.2/3561.1	597.21	3231.6	2.434	33059	2.7241e+05	5.0473	1	2.564e-07	5.128e-07	3.4294e-05	True
gRNA_12604	Trp53	130.83/319.5/155.28	806.46/1159.4/898.3/732.34	155.28	852.38	2.449	13783	19614	4.9774	1	3.7189e-07	7.4377e-07	4.5712e-05	True
gRNA_4195	Fgf4	1694.9/729.69/1056.9	5997/5176/574.02/8960.5	1056.9	5586.5	2.401	2.5705e+05	8.3203e+05	4.9658	1	3.9016e-07	7.8031e-07	4.5712e-05	True
gRNA_10363	Rara	48.51/208.28/73.978	237.76/647.15/585.2/238.11	73.978	411.66	2.4604	9342.7	4632	4.9616	1	4.0585e-07	8.1171e-07	4.5712e-05	True
gRNA_11608	Smo	74.97/162.94/58.597	282.74/640.17/457.23/329.13	74.97	393.18	2.3753	4003.4	4753.3	4.6154	1	2.2769e-06	4.5537e-06	0.00024363	True
gRNA_1726	Card11	23.52/223.16/110.6	1767.1/557.03/580.23/260.34	110.6	568.63	2.3517	10126	10126	4.5517	1	3.0791e-06	6.1583e-06	0.00031378	True
gRNA_4461	Flt3	82.32/168.61/59.329	345.4/582.61/457.23/389.45	82.32	423.34	2.3485	3987.1	5700.6	4.5166	1	3.6434e-06	7.2867e-06	0.0003544	True
gRNA_12597	Trp53	126.42/225.99/99.614	838.59/1386.2/444.8/157.68	126.42	641.69	2.3345	5316.4	13137	4.4956	1	4.0107e-06	8.0214e-06	0.00037317	True
gRNA_6782	Lck	105.84/123.98/32.228	518.9/514.58/541.71/658.26	105.84	530.3	2.3141	2873.8	9294.6	4.4028	0.99999	6.1858e-06	1.2372e-05	0.00055156	True
gRNA_6081	Keap1	80.85/216.78/79.106	375.92/689.01/426.16/115.35	80.85	401.04	2.2963	9240.2	5504.4	4.3157	0.99999	9.2267e-06	1.8453e-05	0.00078981	True
gRNA_11798	Sox9	92.61/145.23/112.8	493.19/526.21/796.42/564.07	112.8	545.14	2.2628	729.66	10521	4.2149	0.99999	1.4455e-05	2.8911e-05	0.0011898	True
gRNA_2043	Cdk12	329.28/661.68/1116.3	2244.3/2670/3543.5/3456.4	661.68	3063.2	2.2091	1.5857e+05	3.3288e+05	4.1624	0.99998	1.8013e-05	3.6025e-05	0.0014277	True
gRNA_11285	Smad4	24.99/135.31/45.412	120.49/345.96/141.64/301.61	45.412	221.63	2.262	4249.4	1799	4.1546	0.99998	1.8995e-05	3.7991e-05	0.0014518	True
gRNA_3012	Egfr	101.43/416.56/229.26	996.02/1242/1150.5/451.89	229.26	1073.3	2.222	25711	41950	4.1208	0.99998	2.1733e-05	4.3467e-05	0.0016038	True
gRNA_1376	Bcl2	91.14/173.57/114.26	570.3/512.84/1510.8/298.44	114.26	541.57	2.2349	2025.8	10789	4.1138	0.99998	2.251e-05	4.502e-05	0.0016057	True
gRNA_1337	Bap1	383.67/346.42/454.86	2046.7/1229.8/2279.9/1388.5	383.67	1717.6	2.1595	3227.4	1.147e+05	3.9386	0.99995	4.7023e-05	9.4047e-05	0.0032461	True
gRNA_10598	Ret	161.7/201.2/194.1	764.69/992.53/473.38/1302.8	194.1	878.61	2.1726	550.1	30312	3.9316	0.99995	4.8628e-05	9.7256e-05	0.003252	True
gRNA_12567	Trp53	192.57/495.9/304.7	875.54/1238.5/1445/1573.7	304.7	1341.7	2.135	24566	73115	3.8352	0.99993	7.2099e-05	0.0001442	0.0046359	True
gRNA_12561	Trp53	245.49/364.14/265.15	975.14/1363.5/2507.3/955.63	265.15	1169.3	2.1366	5092.3	55727	3.8302	0.99993	7.3655e-05	0.00014731	0.0046359	True
gRNA_2810	Dnmt3a	160.23/223.87/150.15	922.12/1048.9/407.53/489.99	160.23	706.06	2.1327	2075.5	20852	3.7799	0.99991	9.0527e-05	0.00018105	0.0055351	True
