sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
gRNA_13261	ST	0.46465/1.1842	11.975/2189.5/4921.9	0.82442	2189.5	10.23	0.25886	1.5547	1755.3	1	0	0	0	True
gRNA_2270	Crebbp	8.8284/5.3288	824.28/8658.6/9927.1	7.0786	8658.6	10.066	6.1234	31.26	1547.4	1	0	0	0	True
gRNA_3626	Erbb4	29.738/14.21	9973.2/89.368/57835	21.974	9973.2	8.7621	120.55	174.82	752.62	1	0	0	0	True
gRNA_9064	Pik3r1	200.03/207.82	758.42/33151/97154	203.93	33151	7.3378	30.355	5947.9	427.21	1	0	0	0	True
gRNA_7815	Nfe2l2	294.59/418.61	1303.3/42045/64847	356.6	42045	6.8775	7690.4	14622	344.76	1	0	0	0	True
gRNA_1552	Braf	58.081/18.947	381.21/5426.9/75390	38.514	5426.9	7.1019	765.75	419.55	263.07	1	0	0	0	True
gRNA_9624	Prkd1	1.1616/0.59209	21.954/2379.8/279.55	0.87686	279.55	7.2238	0.16219	1.6843	214.73	1	0	0	0	True
gRNA_2268	Crebbp	36.707/6.513	1295.3/40295/2269.1	21.61	2269.1	6.6497	455.85	170.36	172.19	1	0	0	0	True
gRNA_300	Apc	7.4344/3.5525	29.938/2281.8/654.27	5.4935	654.27	6.657	7.5344	21.499	139.92	1	0	0	0	True
gRNA_4421	Flt1	106.17/108.94	5807.9/6888.6/342.01	107.56	5807.9	5.7417	3.8419	2135.1	123.36	1	0	0	0	True
gRNA_6895	Map2k4	6.0405/2.9604	550.85/73.512/487.73	4.5005	487.73	6.4733	4.7432	16.07	120.54	1	0	0	0	True
gRNA_829	Arid2	21.374/8.8813	193.6/54509/1094.4	15.128	1094.4	6.0858	78.032	98.372	108.82	1	0	0	0	True
gRNA_4735	Gata2	207.93/108.94	6664.1/67284/469.89	158.44	6664.1	5.3856	4899.2	3967.2	103.29	1	0	0	0	True
gRNA_1008	Atm	451.41/463.61	17388/13319/1320.4	457.51	13319	4.8605	74.405	21858	86.992	1	0	0	0	True
gRNA_6894	Map2k4	33.222/8.2893	1057.8/60.54/45921	20.756	1057.8	5.6049	310.83	160.06	81.97	1	0	0	0	True
gRNA_10623	Rhoa	121.51/76.38	9234.7/3528.6/425.28	98.943	3528.6	5.1423	1018.2	1868.9	79.334	1	0	0	0	True
gRNA_13284	ST	72.95/72.827	241.5/3965.3/2730.1	72.889	2730.1	5.208	0.0075671	1149.1	78.386	1	0	0	0	True
gRNA_1588	Brca2	52.273/6.513	145.7/1278.5/14757	29.393	1278.5	5.3957	1047	274.81	75.352	1	0	0	0	True
gRNA_2914	Drosha	68.536/29.604	2901.9/21.621/1832	49.07	1832	5.1941	757.83	614.27	71.936	1	0	0	0	True
gRNA_13268	ST	4.1819/1.1842	1031.8/110.99/181.41	2.683	181.41	5.6302	4.493	7.6682	64.543	1	0	0	0	True
