sgRNA	Gene	d5_rep2	d5_rep3	S1	S2	S3_5
gRNA_1	Abl1	21.14960587631854	10.099903278489757	416.1654424567181	155.505068980148	61.632162076131586
gRNA_2	Abl1	1.0071240893485018	7.574927458867318	38.77747883124162	283.4205289476891	4.740935544317814
gRNA_3	Abl1	1.0071240893485018	0.0	36.700113893853676	186.85689740356491	19.75389810132423
gRNA_67	Ago2	200.41769378035187	45.44956475320391	6.232094812163831	161.14839809636302	20.544054025377196
gRNA_84	Akt1	1125.964731891625	1376.1118216942293	744.3891025640132	2133.178405929288	819.3916932429289
gRNA_85	Akt1	580.103475464737	454.4956475320391	85.1719624329057	281.53941924228405	361.10125729220687
gRNA_95	Akt1	1646.6478860848006	1722.0335089825035	40.16238878950025	115.37472859817431	838.3554354202003
gRNA_120	Akt3	412.9208766328858	308.0470499939376	168.95901490755278	394.406001566585	210.97163172214275
gRNA_121	Akt3	81.57705123722864	58.074443851316104	206.35158378053578	100.32585095493418	168.30321182328242
gRNA_122	Akt3	445.1488474920378	469.6455024497737	275.5970816934672	62.076620278365525	80.59590425340285
gRNA_196	Alk	40.284963573940075	40.39961311395903	327.5312051281658	415.0982083260402	681.9045624577124
gRNA_197	Alk	264.873635498656	186.84821065206052	1004.0597197375063	1215.8239062601087	500.16869992552944
gRNA_198	Alk	198.40344560165485	421.67096187694733	333.76329994032966	1185.7261509736284	987.6949050662114
gRNA_235	Amer1	760.3786874581189	595.8942934308957	1218.0283082884644	1508.6499837348229	806.7491984580814
gRNA_283	Ankrd11	1316.311184778492	2037.6554864353084	1177.865919498964	871.5808301709908	929.2233666862917
gRNA_284	Ankrd11	701.9654902759058	1020.0902311274655	2053.821468097547	922.9978287853945	197.53898101324228
gRNA_285	Ankrd11	944.6823958088947	888.7914885070986	701.4568938579957	441.4337442017104	203.07007248161307
gRNA_292	Apc	481.4053147085839	406.5211069592127	326.8387501490365	174.31616603419815	437.74638192534485
gRNA_293	Apc	393.78551893526424	224.72284794639708	520.7261443052446	549.2840339782647	295.51831559581046
gRNA_299	Apc	376.6644094163397	275.22236433884586	483.3335754322616	188.1109705405016	235.4664653677848
gRNA_300	Apc	32.22797085915206	15.149854917734636	121.17962134763006	425.1307934215336	203.86022840566602
gRNA_497	Araf	58.4131971822131	47.97454057282634	57.47376326773311	5.643329116215048	85.33683979772066
gRNA_498	Araf	1557.0138421327838	2032.6055347960635	2825.908769826733	2370.19822881032	2033.8613485123424
gRNA_528	Arid1a	1822.8946017207884	2785.0483290435504	2117.527326177444	1668.5443086942491	1995.143708233747
gRNA_594	Arid1a	334.3651976637026	386.3213004022332	711.1512635658062	977.5500102421399	489.8966729128408
gRNA_671	Arid1a	420.9778693476738	207.04801720904	481.948665474003	198.77059220446336	255.220363469109
gRNA_736	Arid1b	446.1559715813863	540.344825399202	529.7280590339257	938.0467064286346	1152.837493193282
gRNA_740	Arid1b	213.5103069418824	214.62294466790735	740.2343726892374	496.6129622269242	760.1299989389563
gRNA_741	Arid1b	1243.7982503453998	941.8159807191698	1272.7322516396803	2468.642970059849	3243.590068237438
gRNA_767	Arid1b	1386.809871032887	1239.7631274346177	292.2160011925708	776.8983083322717	101.93011420283301
