sgRNA	Gene	d5_rep2	d5_rep3	B1	B2	B3	B4
gRNA_1	Abl1	13.91267087055191	6.55507033476549	135.45447538945254	19.394728388320488	58.26368658280739	204.44203522288487
gRNA_2	Abl1	0.6625081366929481	4.9163027510741175	2.2670205086100843	356.1577394946126	0.0	0.0
gRNA_3	Abl1	0.6625081366929481	0.0	33.43855250199874	5.289471378632861	3.273240819258842	1.0932729156304004
gRNA_67	Ago2	131.83911920189666	29.497816506444703	0.0	467.2366384459027	0.0	232.8671310292753
gRNA_84	Akt1	740.6840968227159	893.1283331117979	776.4545241989539	5665.023846515794	615.3692740206623	251.4527705949921
gRNA_85	Akt1	381.6046867351381	294.978165064447	64.6100844953874	26.447356893164304	77.24848333450866	8.746183325043203
gRNA_95	Akt1	1083.2008034929702	1117.639492077516	172.2935586543664	139.28941297066532	294.59167373329575	1140.2836510025077
gRNA_120	Akt3	271.6283360441087	199.92964521034745	48.74094093511681	1.7631571262109536	98.19722457776525	4.373091662521602
gRNA_121	Akt3	53.66315907212879	37.691654424901564	152.45712920402818	186.89465537836108	66.77411271288038	59.03673744404162
gRNA_122	Akt3	292.82859641828304	304.8107705665953	13.602123051660506	130.47362733961057	95.57863192235818	8.746183325043203
gRNA_196	Alk	26.50032546771792	26.22028133906196	336.085790401445	248.60515479574445	323.3961929427736	108.23401864740964
gRNA_197	Alk	174.23963995024533	121.26880119316156	907.9417136983387	521.8945093584423	105.3983543801347	352.03387883298893
gRNA_198	Alk	130.51410292851077	273.67418647645917	299.24670713653114	1087.8679468721584	1415.3493302475233	1740.4904816835974
gRNA_235	Amer1	500.1936432031758	386.7491497511639	1873.1256952390822	1098.446889629424	455.6351220408308	2265.2614811861895
gRNA_283	Ankrd11	865.8981346576832	1322.4854400389374	699.375826906211	111.07889895129007	811.7637231761928	1595.085183904754
gRNA_284	Ankrd11	461.7681712749848	662.0621038113145	835.9638125499686	4217.471845896601	128.96568827879838	1012.3707198737508
gRNA_285	Ankrd11	621.4326322179853	576.8461894593631	323.61717760408953	483.10505258180126	528.3010682283771	17.492366650086407
gRNA_292	Apc	316.67888933922916	263.84158097431094	504.41206316574375	313.8419684655497	401.9539726049858	1620.2304609642533
gRNA_293	Apc	259.0406814469427	145.85031494853214	410.8974671855778	514.8418808535985	214.06994957952827	232.8671310292753
gRNA_299	Apc	247.77804312316258	178.6256666223596	152.45712920402818	215.10516939773635	250.07559859137552	440.5889849990514
gRNA_300	Apc	21.200260374174338	9.832605502148235	52.70822682518446	96.97364194160245	176.1003560761257	5.466364578152002
gRNA_497	Araf	38.42547192819099	31.136584090136076	77.07869729274287	31.736828271797165	2.6185926554070735	17.492366650086407
gRNA_498	Araf	1024.2375793272977	1319.2079048715548	2379.804778913436	1156.6310747943855	1132.5413234635594	181.48330399464646
