id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Esr1	5	4.3793e-05	0.00016454	0.037844	1	5	-1.8526	0.99996	0.99996	0.999955	230	0	-1.8526
Notch1	9	0.00077992	0.0054497	0.438303	2	8	-1.126	0.95822	0.9772	0.999955	212	1	-1.126
Cd79a	4	0.0018713	0.0072347	0.438303	3	3	-1.3998	0.94941	0.94887	0.999955	209	0	-1.3998
Fgf4	5	0.0021901	0.0095283	0.438303	4	4	-1.3799	0.77217	0.83865	0.999955	176	1	-1.3799
Bcor	6	0.0023171	0.011672	0.442169	5	3	0.25259	0.23872	0.46299	0.999955	74	3	0.25259
Asxl2	3	0.0030866	0.0082918	0.438303	6	3	-2.4187	0.99691	0.99677	0.999955	229	0	-2.4187
Rara	4	0.0036697	0.013457	0.442169	7	3	-2.4756	0.91915	0.91826	0.999955	200	0	-2.4756
Dis3	5	0.0055173	0.022572	0.516993	8	5	-1.1164	0.99448	0.99452	0.999955	228	0	-1.1164
Erbb2	8	0.0085867	0.040761	0.566323	9	4	-0.86597	0.36739	0.63507	0.999955	95	2	-0.86597
Ctcf	8	0.0088204	0.042047	0.566323	10	7	-0.71503	0.73062	0.88147	0.999955	165	1	-0.71503
Foxo1	4	0.010454	0.035316	0.566323	11	4	-1.8759	0.98955	0.99013	0.999955	226	0	-1.8759
Raf1	4	0.010952	0.036912	0.566323	12	4	-1.0805	0.98905	0.98965	0.999955	225	0	-1.0805
Lck	2	0.012135	0.023519	0.516993	13	1	-1.8162	0.30478	0.36639	0.999955	86	1	-1.8162
Ercc2	19	0.01481	0.087769	0.617578	14	13	-0.76182	0.79682	0.96089	0.999955	183	4	-0.76182
Fas	2	0.015854	0.029712	0.566323	15	2	-1.5277	0.9839	0.9834	0.999955	223	0	-1.5277
Rbm10	4	0.015943	0.051551	0.566323	16	4	-1.4385	0.98406	0.98444	0.999955	224	0	-1.4385
Ccnd3	4	0.016748	0.053934	0.566323	17	4	-1.3903	0.96071	0.96051	0.999955	214	0	-1.3903
Pik3cg	4	0.018997	0.060326	0.566323	18	4	-1.2564	0.981	0.98149	0.999955	222	0	-1.2564
Nkx3-1	1	0.021067	0.021166	0.516993	19	1	-1.6087	0.97893	0.97888	0.999955	221	0	-1.6087
Map3k1	4	0.021476	0.067735	0.566323	20	3	-1.3785	0.92084	0.92005	0.999955	201	0	-1.3785
Lats1	4	0.022623	0.071246	0.566323	21	3	-1.419	0.6828	0.75056	0.999955	154	1	-1.419
Fyn	1	0.024813	0.024726	0.516993	22	1	-3.5693	0.97519	0.97535	0.999955	219	0	-3.5693
Ccnd1	4	0.025877	0.080679	0.598587	23	3	-1.581	0.76889	0.79638	0.999955	175	1	-1.581
Tsc2	5	0.027209	0.090452	0.617578	24	4	-1.51	0.94286	0.94314	0.999955	208	0	-1.51
Akt1	3	0.029205	0.072283	0.566323	25	3	-0.87533	0.96025	0.95991	0.999955	213	0	-0.87533
Inppl1	2	0.031483	0.057344	0.566323	26	2	-1.9243	0.96852	0.9678	0.999955	218	0	-1.9243
Daxx	2	0.034344	0.062251	0.566323	27	2	-1.9801	0.96189	0.96133	0.999955	217	0	-1.9801
Brca2	4	0.037522	0.11275	0.699692	28	3	-1.2531	0.074597	0.17385	0.916988	41	1	-1.2531
Bap1	15	0.039197	0.17766	0.825887	29	9	-0.82522	0.55943	0.84766	0.999955	128	6	-0.82522
Ikzf1	1	0.046348	0.046465	0.566323	30	1	-2.1336	0.95365	0.95405	0.999955	210	0	-2.1336
Arid5b	3	0.048356	0.1156	0.699692	31	2	-1.552	0.70805	0.7209	0.999955	162	1	-1.552
Cbl	6	0.052198	0.16688	0.825887	32	4	-1.0852	0.50665	0.71738	0.999955	115	2	-1.0852
Cd79b	5	0.052319	0.15049	0.804966	33	4	-0.85656	0.96124	0.96161	0.999955	216	0	-0.85656
Pot1b	2	0.05448	0.096664	0.617578	34	1	-1.3452	0.74198	0.73954	0.999955	171	0	-1.3452
Pik3r3	3	0.059538	0.14024	0.767994	35	3	-1.2948	0.92742	0.92696	0.999955	203	0	-1.2948
Bcl2	15	0.061674	0.24771	0.865678	36	9	-0.56013	0.79314	0.94898	0.999955	181	4	-0.56013
Carm1	1	0.062266	0.06264	0.566323	37	1	-5.2934	0.93773	0.93804	0.999955	207	0	-5.2934
Sox2	1	0.063202	0.063537	0.566323	38	1	-1.8224	0.9368	0.93703	0.999955	206	0	-1.8224
B2m	5	0.066065	0.18033	0.825887	39	3	-0.53335	0.64052	0.77281	0.999955	142	2	-0.53335
Max	1	0.070693	0.071196	0.566323	40	1	-1.8268	0.92931	0.92967	0.999955	205	0	-1.8268
Pms2	1	0.072566	0.072951	0.566323	41	1	-1.7628	0.92743	0.92793	0.999955	204	0	-1.7628
Pik3cb	5	0.072984	0.19512	0.846741	42	4	-1.1099	0.9785	0.9781	0.999955	220	0	-1.1099
Dot1l	1	0.073502	0.073868	0.566323	43	1	-1.7945	0.9265	0.92703	0.999955	202	0	-1.7945
Trp53	64	0.073521	0.38566	0.933691	44	33	-0.36248	0.73121	0.97838	0.999955	166	22	-0.36248
Stat6	4	0.078125	0.18672	0.825887	45	2	-0.53152	0.90005	0.89915	0.999955	196	0	-0.53152
Keap1	6	0.090649	0.24573	0.865678	46	3	-0.18712	0.54249	0.73617	0.999955	124	2	-0.18712
NT	10	0.093454	0.30028	0.893323	47	7	-0.74974	0.96117	0.98437	0.999955	215	2	-0.74974
Lyn	1	0.094101	0.09452	0.617578	48	1	-2.1374	0.9059	0.90676	0.999955	199	0	-2.1374
Negr1	1	0.095974	0.096275	0.617578	49	1	-2.2264	0.90403	0.90504	0.999955	198	0	-2.2264
Traf7	2	0.096926	0.1669	0.825887	50	2	-1.1366	0.90307	0.90218	0.999955	197	0	-1.1366
