id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Kmt2d	11	1.7649e-05	0.00012465	0.02867	1	11	-2.2573	0.99998	0.99998	0.999975	230	0	-2.2573
Stat6	4	0.0002307	0.00099222	0.114106	2	4	-3.2717	0.99977	0.99979	0.999975	229	0	-3.2717
Pik3r3	3	0.00055148	0.0015307	0.117355	3	3	-5.4973	0.99945	0.99945	0.999975	228	0	-5.4973
B2m	5	0.00086739	0.0038642	0.22219	4	5	-2.1935	0.99913	0.99921	0.999975	227	0	-2.1935
Map3k1	4	0.002333	0.0088203	0.387424	5	4	-3.0596	0.99767	0.99784	0.999975	226	0	-3.0596
Esr1	5	0.0023408	0.010107	0.387424	6	3	-0.59709	0.49562	0.67491	0.982404	138	1	-0.59709
NT	10	0.0027069	0.017336	0.419204	7	8	-1.8743	0.97511	0.98861	0.999975	217	1	-1.8743
Ccnd1	4	0.0033187	0.012211	0.401212	8	3	-3.5727	0.92759	0.92658	0.999975	204	0	-3.5727
Tsc2	5	0.0048469	0.020049	0.419204	9	5	-2.8747	0.99515	0.99534	0.999975	225	0	-2.8747
Lats1	4	0.0053447	0.019042	0.419204	10	4	-2.0486	0.99466	0.99499	0.999975	224	0	-2.0486
Pik3ca	35	0.0082501	0.067167	0.72078	11	13	0.47002	0.13569	0.49223	0.978954	61	18	0.47002
Inppl1	2	0.011718	0.022612	0.433391	12	2	-3.2641	0.98828	0.98787	0.999975	222	0	-3.2641
Daxx	2	0.012754	0.024636	0.435868	13	2	-4.0155	0.98725	0.98676	0.999975	221	0	-4.0155
Ccnd3	4	0.014852	0.04824	0.660487	14	4	-2.1817	0.97148	0.97201	0.999975	216	0	-2.1817
Gli1	4	0.016003	0.05169	0.660487	15	4	-2.0435	0.984	0.98441	0.999975	220	0	-2.0435
Eed	7	0.017431	0.071006	0.72078	16	5	-1.901	0.39239	0.64584	0.981748	116	2	-1.901
Smad4	15	0.017654	0.096605	0.767518	17	8	-1.0972	0.25003	0.59045	0.978954	88	3	-1.0972
Pole	1	0.018276	0.018384	0.419204	18	1	-5.2186	0.98172	0.98169	0.999975	219	0	-5.2186
Irs1	6	0.021364	0.078346	0.72078	19	4	-1.6464	0.93151	0.94071	0.999975	205	1	-1.6464
Asxl2	3	0.022142	0.056098	0.67908	20	3	-3.1529	0.93201	0.93133	0.999975	206	0	-3.1529
Pik3cg	4	0.024352	0.076391	0.72078	21	4	-1.6141	0.97565	0.9763	0.999975	218	0	-1.6141
Ctnnb1	9	0.028964	0.11928	0.78679	22	5	-0.84863	0.81078	0.92933	0.999975	187	3	-0.84863
Smo	3	0.029232	0.072362	0.72078	23	2	-2.3896	0.84875	0.84954	0.999975	191	0	-2.3896
Ret	4	0.029451	0.09094	0.767518	24	3	-2.6779	0.64519	0.74225	0.999975	166	1	-2.6779
Nkx3-1	1	0.029522	0.029612	0.486484	25	1	-2.6266	0.97048	0.97092	0.999975	215	0	-2.6266
Fyn	1	0.033271	0.033222	0.509404	26	1	-4.7392	0.96673	0.96735	0.999975	214	0	-4.7392
Arid1b	8	0.040501	0.1462	0.867392	27	5	-1.3153	0.36785	0.6381	0.981748	110	3	-1.3153
Prkd1	4	0.04242	0.12074	0.78679	28	1	0.85831	0.024146	0.075853	0.758526	16	3	0.85831
Rara	4	0.045056	0.12538	0.78679	29	3	-1.3697	0.88489	0.88518	0.999975	196	1	-1.3697
Map2k1	10	0.048321	0.18063	0.944198	30	5	-0.70497	0.54544	0.80219	0.999975	145	4	-0.70497
Upf1	1	0.049203	0.049466	0.660487	31	1	-3.9222	0.9508	0.95123	0.999975	212	0	-3.9222
Setbp1	3	0.049777	0.11879	0.78679	32	3	-1.5981	0.95022	0.94991	0.999975	211	0	-1.5981
Pdgfrb	6	0.050142	0.16128	0.883219	33	5	-1.1685	0.98896	0.98906	0.999975	223	0	-1.1685
Trp53	64	0.050977	0.30377	0.963597	34	30	-0.0093115	0.081046	0.40459	0.978954	43	28	-0.0093115
Tsc1	3	0.05328	0.12657	0.78679	35	3	-2.5398	0.94672	0.94629	0.999975	210	0	-2.5398
Ncoa3	2	0.054531	0.096774	0.767518	36	1	-1.5322	0.41442	0.44978	0.978954	121	1	-1.5322
Ercc2	19	0.060518	0.25539	0.963597	37	8	-0.028916	0.11128	0.38166	0.978954	55	8	-0.028916
Ptpn1	1	0.061387	0.061852	0.711296	38	1	-3.5657	0.93861	0.939	0.999975	208	0	-3.5657
Rad21	2	0.061807	0.10966	0.78679	39	1	-2.1383	0.61797	0.61796	0.981748	163	1	-2.1383
Nfe2	3	0.064315	0.1504	0.867392	40	3	-2.9693	0.93568	0.93501	0.999975	207	0	-2.9693
Tcf3	3	0.064629	0.15115	0.867392	41	2	-0.9928	0.44946	0.5683	0.978954	131	1	-0.9928
Rhoa	8	0.070056	0.22617	0.963597	42	3	-0.31205	0.11047	0.30306	0.970719	54	2	-0.31205
Ctcf	8	0.073114	0.23384	0.963597	43	6	-0.76606	0.69584	0.86411	0.999975	172	1	-0.76606
Stat3	10	0.074909	0.2531	0.963597	44	7	-0.573	0.88892	0.9625	0.999975	199	2	-0.573
Sox9	3	0.076961	0.17628	0.942901	45	2	-2.9547	0.49712	0.59163	0.978954	139	1	-2.9547
Dis3	5	0.079156	0.20766	0.963597	46	4	-1.4588	0.96539	0.96557	0.999975	213	0	-1.4588
Dnmt3a	27	0.079315	0.34052	0.963597	47	14	-0.57757	0.50589	0.87135	0.999975	140	10	-0.57757
Vhl	13	0.088819	0.30278	0.963597	48	6	-0.049929	0.38382	0.711	0.984839	113	6	-0.049929
Fgfr3	6	0.08927	0.23879	0.963597	49	1	2.2431	0.010785	0.0448	0.731881	9	4	2.2431
Flt3	5	0.092443	0.23648	0.963597	50	1	2.372	0.045844	0.13269	0.867313	28	3	2.372
Tshr	1	0.094189	0.09464	0.767518	51	1	-4.1663	0.90581	0.90668	0.999975	203	0	-4.1663
Foxo1	4	0.098108	0.21792	0.963597	52	2	-1.4114	0.45371	0.60895	0.981748	133	2	-1.4114
Fgfr4	1	0.099813	0.10031	0.769075	53	1	-3.9553	0.90019	0.90126	0.999975	201	0	-3.9553
Bcl2	15	0.10467	0.35	0.963597	54	8	-0.75518	0.21879	0.54769	0.978954	81	6	-0.75518
Traf7	2	0.11163	0.18927	0.963597	55	2	-1.6767	0.88837	0.88719	0.999975	198	0	-1.6767
Negr1	1	0.11762	0.11816	0.78679	56	1	-3.1455	0.88238	0.8832	0.999975	195	0	-3.1455
Drosha	3	0.12175	0.23603	0.963597	57	2	-2.2589	0.051118	0.12178	0.837055	31	1	-2.2589
Pik3cd	2	0.12428	0.20793	0.963597	58	1	-1.2634	0.40289	0.44112	0.978954	119	1	-1.2634
U2af1	4	0.12563	0.26406	0.963597	59	3	-1.1742	0.87016	0.87188	0.999975	192	1	-1.1742
Nf1	5	0.15155	0.33147	0.963597	60	3	-0.80428	0.64476	0.7777	0.999975	165	1	-0.80428
Cd79b	5	0.1519	0.33195	0.963597	61	2	-0.27522	0.79057	0.85226	0.999975	184	1	-0.27522
Carm1	1	0.15511	0.15462	0.867392	62	1	-3.4853	0.84489	0.84561	0.999975	190	0	-3.4853
Arid5b	3	0.15563	0.27576	0.963597	63	1	1.2171	0.2296	0.3592	0.978954	82	2	1.2171
Tet2	4	0.16252	0.32265	0.963597	64	2	-0.2723	0.29816	0.47161	0.978954	99	2	-0.2723
Fgf4	5	0.1638	0.34733	0.963597	65	2	0.10128	0.42192	0.62673	0.981748	123	2	0.10128
Recql	4	0.16653	0.32905	0.963597	66	2	-0.20355	0.37819	0.54142	0.978954	111	2	-0.20355
Pik3cb	5	0.17189	0.3575	0.963597	67	3	-0.6257	0.23817	0.43836	0.978954	84	2	-0.6257
Erbb3	18	0.17259	0.49753	0.984876	68	9	0.18891	0.17401	0.49907	0.978954	66	9	0.18891
Msh3	3	0.17803	0.30161	0.963597	69	1	0.90877	0.2729	0.4084	0.978954	95	2	0.90877
Pik3r1	6	0.18848	0.40498	0.963597	70	2	0.036654	0.019521	0.072412	0.758526	13	3	0.036654
Lck	2	0.19135	0.30265	0.963597	71	1	-0.91022	0.57512	0.57947	0.978954	155	1	-0.91022
Nkx2-1	2	0.19472	0.30487	0.963597	72	1	-1.5089	0.62143	0.62127	0.981748	164	1	-1.5089
Map2k2	2	0.20645	0.31228	0.963597	73	1	0.10183	0.079875	0.13952	0.867313	42	1	0.10183
Gna13	1	0.20853	0.20808	0.963597	74	1	-1.8675	0.79147	0.79328	0.999975	186	0	-1.8675
Inpp4a	4	0.21038	0.39512	0.963597	75	2	-0.95772	0.90035	0.89947	0.999975	202	0	-0.95772
Cic	3	0.21688	0.34656	0.963597	76	1	1.2655	0.24174	0.37303	0.978954	85	2	1.2655
Pdgfra	1	0.2254	0.22503	0.963597	77	1	-1.5769	0.7746	0.77639	0.999975	182	0	-1.5769
Klf4	2	0.22801	0.32565	0.963597	78	1	-0.78798	0.3252	0.38537	0.978954	105	1	-0.78798
Igf1r	5	0.23439	0.43592	0.963597	79	2	-0.046587	0.94585	0.94602	0.999975	209	0	-0.046587
Akt1	3	0.23443	0.36664	0.963597	80	2	-1.0134	0.89555	0.89577	0.999975	200	0	-1.0134
Inha	3	0.23583	0.36823	0.963597	81	2	-0.74445	0.5995	0.64987	0.981748	160	1	-0.74445
Trp53bp1	4	0.23923	0.42701	0.963597	82	2	-0.58121	0.50607	0.65524	0.981748	141	1	-0.58121
Rnf43	1	0.24602	0.24593	0.963597	83	1	-2.0141	0.75398	0.75558	0.999975	179	0	-2.0141
Rbm10	4	0.24835	0.43449	0.963597	84	1	-0.033977	0.38862	0.55034	0.978954	114	1	-0.033977
Kmt2c	2	0.24927	0.33971	0.963597	85	1	-0.26608	0.43292	0.4634	0.978954	126	1	-0.26608
Gnas	4	0.25031	0.43583	0.963597	86	2	-0.78453	0.55803	0.70189	0.982576	150	2	-0.78453
Erbb2	8	0.25918	0.53416	0.999885	87	3	1.496	0.059479	0.19777	0.93658	34	5	1.496
Epha7	5	0.26049	0.46806	0.963597	88	3	-0.8279	0.70489	0.82271	0.999975	176	2	-0.8279
Chek2	3	0.26406	0.40074	0.963597	89	2	-0.966	0.39084	0.53947	0.978954	115	1	-0.966
Cdc73	4	0.26449	0.4479	0.963597	90	2	-0.59867	0.18276	0.3547	0.978954	68	2	-0.59867
Bap1	15	0.27314	0.62115	0.999885	91	7	0.0092317	0.41531	0.75586	0.999975	122	5	0.0092317
Mitf	1	0.28351	0.28362	0.963597	92	1	-1.7261	0.71649	0.71772	0.984839	177	0	-1.7261
Pot1b	2	0.28457	0.3626	0.963597	93	1	0.056355	0.25413	0.33809	0.978954	89	1	0.056355
Mga	6	0.29966	0.53529	0.999885	94	3	0.081855	0.25638	0.48795	0.978954	90	3	0.081855
Crebbp	17	0.30008	0.66764	0.999885	95	8	-0.18643	0.0062641	0.042616	0.731881	8	8	-0.18643
Hras	1	0.30037	0.30092	0.963597	96	1	-1.659	0.69963	0.70055	0.982576	173	0	-1.659
Smarca4	7	0.30204	0.56081	0.999885	97	4	-0.69279	0.21624	0.4522	0.978954	80	2	-0.69279
Atrx	9	0.30637	0.59627	0.999885	98	4	1.3214	0.073021	0.23367	0.942784	40	5	1.3214
Phf6	3	0.31427	0.45567	0.963597	99	2	-0.9898	0.8757	0.87674	0.999975	194	0	-0.9898
Ercc4	2	0.31438	0.38216	0.963597	100	1	-0.79101	0.43433	0.46454	0.978954	127	1	-0.79101
Arid1a	3	0.31558	0.45695	0.963597	101	2	-0.91811	0.81269	0.81315	0.999975	188	0	-0.91811
Sf3b1	11	0.3178	0.6397	0.999885	102	5	-0.040807	0.3086	0.62857	0.981748	101	4	-0.040807
Dnmt1	1	0.31818	0.31838	0.963597	103	1	-1.7035	0.68182	0.68334	0.982404	170	0	-1.7035
Etv6	9	0.31846	0.61117	0.999885	104	4	1.806	0.030052	0.1229	0.837055	21	5	1.806
Cdh1	2	0.31903	0.38519	0.963597	105	1	-1.2157	0.70299	0.70171	0.982576	174	0	-1.2157
Elf3	3	0.32218	0.46437	0.963597	106	2	-1.0381	0.10439	0.21165	0.93658	51	1	-1.0381
Mtor	11	0.3258	0.64939	0.999885	107	4	-0.10935	0.39691	0.70489	0.982576	118	5	-0.10935
Cbfb	3	0.33015	0.47342	0.963597	108	2	-1.0091	0.33464	0.47741	0.978954	107	1	-1.0091
Kras	2	0.33288	0.39463	0.963597	109	1	-0.47165	0.54655	0.55443	0.978954	146	1	-0.47165
Rasa1	2	0.33594	0.39676	0.963597	110	1	0.43771	0.12953	0.21582	0.93658	59	1	0.43771
Syk	1	0.33599	0.33625	0.963597	111	1	-1.0853	0.66401	0.66642	0.982404	169	0	-1.0853
Myc	2	0.3481	0.4054	0.963597	112	1	-1.2155	0.72109	0.71936	0.984839	178	0	-1.2155
