sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
gRNA_1109	Atr	16.563/60.634	2905.8/389.66/2167.5/3074.3	38.599	2536.6	6.0019	971.16	425.36	121.12	1	0	0	0	True
gRNA_13268	ST	11.925/3.2775	847.3/190.42/623.88/349.85	7.6013	486.86	5.8258	37.391	34.928	81.093	1	0	0	0	True
gRNA_2044	Cdk12	35.775/24.582	2000.1/88.158/89.687/2018.2	30.178	1044.9	5.068	62.652	289.09	59.679	1	0	0	0	True
gRNA_3626	Erbb4	84.801/39.33	1453.7/516.61/2659.2/2067.4	62.066	1760.6	4.8038	1033.8	901.25	56.577	1	0	0	0	True
gRNA_9624	Prkd1	3.3125/1.6388	211.4/40.553/1457.9/32.798	2.4757	125.98	5.1911	1.4008	6.8614	47.148	1	0	0	0	True
gRNA_829	Arid2	60.951/24.582	1046.2/373.79/1520.7/882.27	42.766	964.25	4.463	661.36	499.92	41.213	1	0	0	0	True
gRNA_2268	Crebbp	104.68/18.026	725.45/1124.9/1308/4619.1	61.351	1216.4	4.2873	3754.1	884.84	38.831	1	0	0	0	True
gRNA_11099	Setd2	92.751/108.16	1772.8/477.82/1810.8/1716.4	100.45	1744.6	4.1048	118.7	1940.8	37.321	1	3.7508e-305	7.5017e-305	1.0034e-302	True
gRNA_3034	Eif1ad19	78.838/19.665	570.72/195.71/7626.7/1380.8	49.252	975.76	4.2808	1750.7	624.79	37.067	1	4.9561e-301	9.9121e-301	1.1784e-298	True
gRNA_2105	Cdk8	23.85/14.749	455.1/155.16/377.73/2383.3	19.3	416.42	4.362	41.418	144.19	33.071	1	4.037e-240	8.074e-240	8.6391e-238	True
gRNA_13261	ST	1.325/3.2775	100.32/44.079/68.738/348.75	2.3013	84.527	4.6953	1.9062	6.1945	33.037	1	1.447e-239	2.8939e-239	2.815e-237	True
gRNA_5912	Kdm6a	25.175/29.498	680.11/460.18/166.94/633.01	27.337	546.59	4.2724	9.342	247.68	32.994	1	5.142e-239	1.0284e-238	9.1698e-237	True
gRNA_2043	Cdk12	102.03/45.885	965.18/661.18/1414/1402.7	73.956	1183.9	3.9826	1575.9	1190.8	32.165	1	2.7338e-227	5.4676e-227	4.5003e-225	True
gRNA_7667	Nf1	155.03/42.608	2125.9/451.37/3154.1/799.18	98.817	1462.5	3.874	6319	1890.5	31.365	1	3.1168e-216	6.2336e-216	4.7643e-214	True
