sgRNA	Gene	d5_rep2	d5_rep3	M1	M2	M3_5
gRNA_1	Abl1	4.878827691191207	2.3683599633921872	9.979192482773705	8.64852544537616	437.1737878242072
gRNA_2	Abl1	0.2323251281519622	1.7762699725441404	9.979192482773705	197.47466433608898	0.0
gRNA_3	Abl1	0.2323251281519622	0.0	11.975030979328446	0.0	0.0
gRNA_67	Ago2	46.23270050224048	10.657619835264843	71.85018587597068	24.504155428565788	359.8505328348916
gRNA_84	Akt1	259.73949327389374	322.6890450121855	47.900123917313785	255.13150063859672	2284.0099935305516
gRNA_85	Akt1	133.81927381553024	106.57619835264842	7.983353986218964	17.29705089075232	0.0
gRNA_95	Akt1	379.8515845284582	403.8053737583679	193.59633416580988	1.4414209075626934	820.816091425042
gRNA_120	Akt3	95.25330254230451	72.23497888346171	7.983353986218964	25.945576336128482	8.921914037228717
gRNA_121	Akt3	18.818335380308937	13.618069789505077	15.966707972437929	72.07104537813467	0.0
gRNA_122	Akt3	102.6877066431673	110.1287382977367	33.9292544414306	66.3053617478839	211.15196554774633
gRNA_196	Alk	9.293005126078489	9.473439853568749	31.933415944875858	0.0	2.973971345742906
gRNA_197	Alk	61.10150870396606	43.81465932275546	237.5047810900142	4466.963392536787	47.583541531886496
gRNA_198	Alk	45.76805024593656	98.87902847162381	73.84602437252542	1058.0029461510169	5014.115688922539
gRNA_235	Amer1	175.40547175473148	139.73323784013905	111.7669558070655	43.2426272268808	2150.181282972121
gRNA_283	Ankrd11	303.64894249461463	477.8166226143738	463.0345312006999	198.91608524365168	1683.2677816904848
gRNA_284	Ankrd11	161.93061432191766	239.2043563026109	355.2592523867439	193.1504016134009	74.34928364357265
gRNA_285	Ankrd11	217.92097020654055	208.41567677851248	622.7016109250792	89.36809626888699	0.0
gRNA_292	Apc	111.05141125663793	95.32648852653554	461.0386927041452	356.03096416798525	8.921914037228717
gRNA_293	Apc	90.83912510741723	52.696009185476164	65.86267038630646	27.386997243691173	2.973971345742906
gRNA_299	Apc	86.88959792883387	64.5378090024371	37.92093143454008	180.17761344533668	496.6532147390653
gRNA_300	Apc	7.434404100862791	3.552539945088281	29.937577448321118	2281.7692966717436	654.2736960634393
gRNA_497	Araf	13.474857432813808	11.24970982611289	49.895962413868524	87.9266753613243	0.0
gRNA_498	Araf	359.1746481229336	476.6324426326777	508.93881662145895	197.47466433608898	136.80268190417368
gRNA_528	Arid1a	420.5084819550516	653.0752599053957	648.6475113802909	539.0914194284474	7705.559756819869
gRNA_594	Arid1a	77.13194254645146	90.58976859975117	43.908446924204306	118.19651442014086	5.947942691485812
gRNA_671	Arid1a	97.1119035675202	48.551379249539835	113.76279430362024	7.207104537813467	2.973971345742906
gRNA_736	Arid1b	102.92003177131926	126.70725804148202	95.80024783462757	82.16099173107352	0.0
gRNA_740	Arid1b	49.25292716821599	50.32764922208398	261.4548430486711	131.16930258820508	0.0
gRNA_741	Arid1b	286.92153326767334	220.84956658632146	1991.8468195616317	85.04383354619891	1415.6103605736232
gRNA_767	Arid1b	319.91170146525195	290.71618550639096	61.870993393196976	0.0	2.973971345742906
gRNA_768	Arid1b	68.76823793298081	65.12989899328515	1790.2671314096028	7.207104537813467	371.74641821786327
gRNA_769	Arid1b	240.45650763728088	245.71734620193942	53.88763940697801	98.01662171426315	26.765742111686155
gRNA_806	Arid1b	76.43496716199557	180.58744720865428	21.954223462102153	11.531367260501547	2.973971345742906
gRNA_807	Arid1b	76.2026420338436	81.11632874618242	0.0	1.4414209075626934	0.0
gRNA_828	Arid2	50.64687793712776	14.210159780353123	197.58801115891936	1021.9674234619496	2.973971345742906
gRNA_829	Arid2	21.373911789980525	8.881349862720702	193.59633416580988	54508.77304039081	1094.4214552333895
gRNA_830	Arid2	33.45481845388256	89.99767860890312	6366.724804009624	128.2864607730797	261.7094784253757
gRNA_831	Arid2	17.192059483245203	8.881349862720702	227.52558860724048	452.6061649746857	692.9353235580971
gRNA_871	Arid2	225.35537430740334	177.034907263566	71.85018587597068	67.7467826554466	8.921914037228717
gRNA_895	Arid5b	24.16181332780407	41.44629935936328	81.82937835874438	1.4414209075626934	395.5381889838065
gRNA_896	Arid5b	55.75803075647093	61.57735904819687	137.71285626227714	0.0	28514.43726298298
gRNA_901	Arid5b	78.75821844351519	196.57387696155155	3.991676993109482	7.207104537813467	0.0
gRNA_974	Asxl2	221.40584712882	397.88447384988746	27.941738951766375	28.828418151253867	413.38201705826395
gRNA_978	Asxl2	224.65839892294747	355.2539945088281	207.56720364169308	31.711259966379252	2.973971345742906
gRNA_979	Asxl2	84.10169639101032	113.08918825197694	61.870993393196976	247.92439610078327	0.0
gRNA_992	Atm	44.374099477024785	27.236139579010153	317.33832095220384	216.213136134404	110.03693979248752
gRNA_993	Atm	26.020414353019767	17.170609734593356	317.33832095220384	165.76340436970975	29730.79154339183
gRNA_999	Atm	476.73116296782644	440.5149531909468	333.30502892464176	430.9848513612453	1008.1762862068451
gRNA_1000	Atm	170.06199380723635	217.29702664123317	229.52142710379522	494.40737129400384	77.32325498931556
gRNA_1008	Atm	451.4077239992626	463.60646283402065	17387.744981984906	13318.729185879287	1320.4432775098503
gRNA_1009	Atm	211.6481917464376	241.5727162660031	115.75863280017498	180.17761344533668	918.957145834558
gRNA_1010	Atm	110.81908612848598	172.89027732762966	1089.7278191188886	47.56688994956888	98.1410544095159
gRNA_1011	Atm	43.21247383626497	21.90732966137773	125.73782528294869	295.49128605035213	368.7724468721203
