Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,0.0,100.0,208,208,3,0,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_13832
HDR,15.6097561,84.3902439,208,208,205,32,173,0,0,1,172,0,1,172,0,0,0,0,gRNA_13832
Reference,0.0,100.0,175,175,175,0,175,0,0,0,175,0,0,175,0,0,0,0,gRNA_13833
HDR,,,175,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13833
Reference,0.0,100.0,627,627,256,0,256,0,26,29,230,0,0,227,26,0,3,0,gRNA_13834
HDR,0.53908356,99.46091644,627,627,371,2,369,0,0,0,369,0,0,369,0,0,0,0,gRNA_13834
Reference,0.0,100.0,282,282,237,0,237,0,0,1,237,0,0,236,0,0,1,0,gRNA_13835
HDR,0.0,100.0,282,282,45,0,45,0,0,0,45,0,0,45,0,0,0,0,gRNA_13835
Reference,0.0,100.0,920,920,715,0,715,0,0,2,715,0,0,713,0,0,2,0,gRNA_13836
HDR,0.0,100.0,920,920,205,0,205,0,0,1,205,0,0,204,0,0,1,0,gRNA_13836
Reference,0.0,100.0,1852,1549,8,0,8,0,1,1,8,0,0,7,0,0,0,1,gRNA_13837
HDR,0.0,100.0,1852,1549,1530,0,1530,0,0,1,1530,0,0,1529,0,0,1,0,gRNA_13837
Reference,1.26582278,98.73417722,79,79,79,1,78,0,1,0,78,0,0,77,0,1,0,0,gRNA_13838
HDR,,,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13838
Reference,0.0,100.0,506,506,445,0,445,0,1,3,443,1,1,441,0,0,2,0,gRNA_13839
HDR,0.0,100.0,506,506,60,0,60,0,0,0,60,0,0,60,0,0,0,0,gRNA_13839
Reference,0.13888889,99.86111111,722,720,720,1,719,0,47,45,696,2,0,672,21,0,0,24,gRNA_13840
HDR,,,722,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13840
Reference,0.0,100.0,858,858,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13841
HDR,0.0,100.0,858,858,857,0,857,0,0,3,857,0,0,854,0,0,3,0,gRNA_13841
Reference,0.0,100.0,578,578,3,0,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_13842
HDR,22.19387755,77.80612245,578,578,392,87,305,0,0,0,305,0,0,305,0,0,0,0,gRNA_13842
Reference,0.0,100.0,2315,2205,4,0,4,0,0,0,4,0,0,4,0,0,0,0,gRNA_13843
HDR,46.47887324,53.52112676,2315,2205,2201,1023,1178,0,0,205,1004,0,174,973,0,0,31,0,gRNA_13843
Reference,2.34986945,97.65013055,1152,1152,1149,27,1122,0,0,0,1122,0,0,1122,0,0,0,0,gRNA_13844
HDR,0.0,100.0,1152,1152,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13844
Reference,16.66666667,83.33333333,260,260,6,1,5,0,0,0,5,0,0,5,0,0,0,0,gRNA_13845
HDR,68.50393701,31.49606299,260,260,254,174,80,0,0,0,80,0,0,80,0,0,0,0,gRNA_13845
Reference,10.77586207,89.22413793,1183,997,928,100,828,0,175,85,699,46,2,650,81,47,1,1,gRNA_13846
HDR,43.39622642,56.60377358,1183,997,53,23,30,0,0,0,30,0,0,30,0,0,0,0,gRNA_13846
Reference,13.68363437,86.31636563,2541,2410,1827,250,1577,0,0,4,1573,0,4,1573,0,0,0,0,gRNA_13847
HDR,24.95697074,75.04302926,2541,2410,581,145,436,0,0,0,436,0,0,436,0,0,0,0,gRNA_13847
Reference,5.55555556,94.44444444,186,186,144,8,136,0,0,0,136,0,0,136,0,0,0,0,gRNA_13848
HDR,0.0,100.0,186,186,42,0,42,0,0,0,42,0,0,42,0,0,0,0,gRNA_13848
Reference,0.0,100.0,324,324,320,0,320,0,0,0,320,0,0,320,0,0,0,0,gRNA_13849
HDR,0.0,100.0,324,324,3,0,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_13849
Reference,3.28947368,96.71052632,215,215,152,5,147,0,0,0,147,0,0,147,0,0,0,0,gRNA_13850
HDR,58.06451613,41.93548387,215,215,62,36,26,0,0,0,26,0,0,26,0,0,0,0,gRNA_13850
Reference,7.86026201,92.13973799,4516,4516,2519,198,2321,0,1412,1,927,1393,1,908,0,19,0,0,gRNA_13851
HDR,28.35106383,71.64893617,4516,4516,1880,533,1347,0,0,59,1291,0,56,1288,0,0,3,0,gRNA_13851
Reference,18.43317972,81.56682028,217,217,217,40,177,0,0,0,177,0,0,177,0,0,0,0,gRNA_13852
HDR,,,217,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13852
Reference,2.85714286,97.14285714,102,102,35,1,34,0,0,0,34,0,0,34,0,0,0,0,gRNA_13853
HDR,0.0,100.0,102,102,66,0,66,0,0,0,66,0,0,66,0,0,0,0,gRNA_13853
Reference,6.95468915,93.04531085,950,950,949,66,883,0,0,1,882,0,1,882,0,0,0,0,gRNA_13854
HDR,,,950,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13854
Reference,19.85018727,80.14981273,267,267,267,53,214,0,0,2,212,0,2,212,0,0,0,0,gRNA_13855
HDR,,,267,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13855
Reference,0.82644628,99.17355372,1363,1363,121,1,120,0,0,54,120,0,0,66,0,0,54,0,gRNA_13856
HDR,8.21917808,91.78082192,1363,1363,1241,102,1139,0,359,1,1139,0,0,779,0,359,1,0,gRNA_13856
Reference,2.17054264,97.82945736,646,646,645,14,631,0,0,3,628,0,3,628,0,0,0,0,gRNA_13857
HDR,0.0,100.0,646,646,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13857
Reference,60.20313943,39.79686057,1084,1084,1083,652,431,0,0,1,430,0,1,430,0,0,0,0,gRNA_13858
HDR,,,1084,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13858
Reference,76.75463223,23.24536777,1789,1789,1781,1367,414,0,0,3,413,0,1,411,0,0,2,0,gRNA_13859
