sgRNA	Gene	input_rep1	input_rep2	input_rep3	meninges1	meninges2	meninges3	meninges4	meninges5
gRNA_1	Abl1	28.65594443232927	208.9441544063435	247.84514783502667	107.19732974723055	122.92737433378198	101.55479025047244	537.8103462276689	295.3839653053783
gRNA_2	Abl1	2.3879953693607727	149.98183138208765	34.35477296723142	193.51206279045516	66.44722936961189	3591.896212311353	116.18929860287284	77.41918445503867
gRNA_3	Abl1	2.3879953693607727	123.64914342950739	88.95432286158136	148.96252315524245	124.58855506802229	47.15043833057649	125.92971884502984	19.057030019701827
gRNA_67	Ago2	37.01392822509198	112.77259840561553	34.35477296723142	343.866759059298	28.24007248208505	513.8188792434618	12.523397454201863	13.101708138545007
gRNA_84	Akt1	316.4093864403024	289.0871177402835	203.06124735988573	412.08324162571745	76.41431377505367	106.39073264335208	333.95726544538303	40.49618879186638
gRNA_85	Akt1	112.23578235995632	132.23588950100094	42.32998812033871	18.09825047680516	58.1413256984104	114.85363183089146	57.0510328469196	171.51327017731643
gRNA_95	Akt1	17.909965270205795	76.70826490534255	52.75911562824825	22.274769817606348	0.0	1.20898559821991	8.348931636134575	371.6120853841856
gRNA_120	Akt3	297.3054234854162	461.3944889082544	260.1147096090379	226.92421751686467	1536.5921791722749	2395.0004700736417	429.96997926093064	587.1947374820626
gRNA_121	Akt3	109.84778699059555	236.42174183512293	150.91560982033803	517.8883982593476	523.2719312856935	25.38869756261811	1098.5802544547078	1746.1003755551799
gRNA_122	Akt3	81.19184255826627	228.40744550172892	144.78082893333243	3069.741715488875	119.60501286530139	751.9890420927841	11.827653151190647	175.08646330601053
gRNA_196	Alk	97.90781014379168	343.46984285974276	295.69643875367046	1472.9191541892199	789.0608487641412	303.4553851531974	41.74465818067288	375.18527851287973
gRNA_197	Alk	191.03962954886183	469.98123497974797	388.9451082361557	183.76685099525238	172.7627963609909	1065.1163120317408	229.5956199937008	110.76898698951688
