sgRNA	Gene	input_rep1	input_rep2	input_rep3	bonemarrow1	bonemarrow2	bonemarrow3	bonemarrow4	bonemarrow5
gRNA_1	Abl1	46.0418808626375	333.9841663337639	376.6941909468482	239.57049118713456	95.56399184810574	412.25741721371963	210.74814381542237	220.50435870217837
gRNA_2	Abl1	3.836823405219792	239.73657966971544	52.215036368870045	182.32798444330595	106.83839538074743	275.3879546987647	40.67069442052011	256.0001822981388
gRNA_3	Abl1	3.836823405219792	197.64542446052874	135.19964774082422	172.43421784560718	182.00108559835869	93.17017629030063	105.37407190771118	232.33629990083185
gRNA_67	Ago2	59.470762780906774	180.25994730890818	52.215036368870045	55.82911151558593	41.339479619686195	69.2592460919049	75.79538505642384	57.00844395714855
gRNA_84	Akt1	508.3791011916224	462.0876821878103	308.6281613945712	466.420425320085	391.3828654902758	355.3658936382263	284.6948609436408	555.0256053186538
gRNA_85	Akt1	180.33070004533022	211.37080115917658	64.33638409735774	2791.4555757792964	71.94143206542792	744.5368954879776	142.3474304718204	778.7568570750104
gRNA_95	Akt1	28.77617553914844	122.61336517458729	80.18737728076471	281.972348034415	156.7678967395892	106.36241364113965	20.335347210260053	65.6134921016238
gRNA_120	Akt3	477.6845139498641	737.5102412740101	395.34241822144463	2358.956635937036	705.9924116868486	925.1056442275868	439.98296691289937	873.4123866642382
gRNA_121	Akt3	176.49387664011041	377.90537176943695	229.37319547753629	180.91458921506327	224.95119429413654	246.52993549380432	127.5580870461767	374.3195942846735
gRNA_122	Akt3	130.45199577747292	365.0950201840323	220.04908184023805	204.2356104810675	112.20715896771966	172.3236003953348	367.8849177128864	410.8910488986933
gRNA_196	Alk	157.30975961401145	549.0150679459132	449.42227731777433	282.6790456485364	1786.724521744359	2068.707719578445	484.35099718983037	282.89095774962396
gRNA_197	Alk	306.94587241758336	751.2356179726579	591.1488046047073	366.77606172897595	696.8655135889958	959.7352672735393	4529.236424103376	986.3536435604759
gRNA_198	Alk	138.1256425879125	635.9424537040161	595.8108614233564	566.7714865253154	895.5097663069685	857.4954278045368	765.3485222770602	885.2443278628916
gRNA_235	Amer1	1020.5950257884646	876.5940584869747	1391.1577546848948	1604.9102816695652	383.3297201098174	916.8604958833124	1310.7055610976709	1050.8915046440402
gRNA_283	Ankrd11	1665.1813578653896	911.3650127902159	1230.7830001233654	544.8638604875539	431.11171603387027	798.9548745601886	2530.826393713274	940.1015097839214
gRNA_284	Ankrd11	1189.4152556181355	661.5631568748254	927.7493069111731	1110.2219517846265	633.5141032627234	1471.758979452979	889.209273466826	3032.203839909467
gRNA_285	Ankrd11	1367.8275439608558	881.1691840531907	1266.2146319450985	2476.9751374953	872.960959241685	746.1859251568325	2312.6835781850295	3111.8005352458636
gRNA_292	Apc	592.7892161064578	881.1691840531907	969.7078182790151	533.5566986616124	863.8340611438323	930.8772480685789	1003.8266850155645	481.88269609061416
gRNA_293	Apc	471.9292788420344	502.3487871705106	675.9982387041211	838.8500679620316	1904.8373206577483	1073.518314424526	382.6742611385301	856.2022903752877
gRNA_299	Apc	1268.0701354251412	1104.4353116845286	1462.0210183283614	500.34191079790935	1598.817796200331	789.8852113814868	2281.2562234055367	956.2359750548125
gRNA_300	Apc	74.81805640178594	368.75512063700506	329.1412113966272	182.32798444330595	606.1334089691651	126.97528450182564	197.80746831798416	228.0337758285942
gRNA_497	Araf	115.10470215659376	270.84743351998384	122.14588864860671	68.54966856977006	171.2635584244142	171.49908556090736	25.88135099487643	223.73125175635658
gRNA_498	Araf	1375.5011907712953	807.0521498804924	693.7140546149877	619.773807584416	1790.4826562552396	695.0660054223313	806.0192166975803	637.8491937092282
gRNA_528	Arid1a	1254.6412535068719	943.3908917537275	758.0504387123455	699.6306379801275	1590.7646508198725	515.3217715171495	722.8291599283347	1346.690034610377
gRNA_594	Arid1a	460.41880862637504	825.3526521453562	769.2393750771033	285.50583610502173	409.0997853272841	1099.0782742917766	149.74210218464222	984.2023815243571
gRNA_671	Arid1a	598.5444512142875	419.9965269786236	353.38390685360264	36.748275934309724	47.78199592405287	17.314811522976225	70.24938127180747	98.95805366146541
gRNA_736	Arid1b	237.8830511236271	279.9976846524157	86.71425682687347	98.23096836286639	232.46746331589767	107.1869284755671	170.07744939490226	194.6892142687526
gRNA_740	Arid1b	771.2015044491782	446.5322552626761	524.0151864161601	579.4920435794995	206.16052173973372	472.44700012692266	855.9332507591278	1131.5638309984959
gRNA_741	Arid1b	1454.156070578301	935.1556657345388	1440.5755569625753	818.3558371525128	666.8004375019514	1195.5465099197868	1661.952467456708	498.01716136150526
gRNA_767	Arid1b	1080.0657885693713	768.6210951242786	925.8844841837135	1317.2843527221794	1581.6377527220197	1324.995338924895	441.8316348411048	1515.564104445704
gRNA_768	Arid1b	517.9711597046719	498.68868671753785	432.63887277063753	484.08786567311853	622.776576088779	366.084586485783	218.14281552824423	280.7396957135051
gRNA_769	Arid1b	1398.5221312026142	778.6863713699536	1107.7047001110288	1614.804048267264	1429.7017432107057	628.2803038337087	2170.3361477132094	548.5718192102973
gRNA_806	Arid1b	103.59423194093438	34.77095430324117	25.1751068207052	0.0	13.421908967430582	116.25659165426893	125.70941911797124	0.0
gRNA_807	Arid1b	276.251285175825	115.29316426864177	184.6174500185048	142.04622043838953	18.790672554402814	49.47089006564635	90.58472848206752	18.285727307009914
gRNA_828	Arid2	303.1090490123635	554.5052186253723	691.8492318875282	2045.1828952671606	395.1410000011563	174.79714489861712	343.85223464621544	1547.8330349874861
gRNA_829	Arid2	234.0462277184073	529.7995405678063	832.6433478107313	712.3511950343117	452.049894023062	587.8790769467641	598.9684087385689	1912.471950109625
gRNA_830	Arid2	458.5003969237651	715.5496385561736	1094.6509410188114	781.607561218203	772.5650801653043	696.7150350911861	789.3812053437312	592.6726909507331
gRNA_831	Arid2	117.02311385920365	500.5187369440242	662.0120682481738	278.43885996380834	402.1203926642202	296.0008255594507	547.2057067488159	565.7819154992479
gRNA_871	Arid2	682.9545661291229	662.4781819880686	491.3807886856163	514.4758630803362	1156.431676633819	2674.726122882613	1279.278206318178	1841.4803029177042
gRNA_895	Arid5b	24.939352133928647	74.11703417269828	60.606738642438444	204.94230809518888	715.1193097847014	198.70807509701285	885.5119376104151	517.3785196865746
gRNA_896	Arid5b	195.67799366620937	307.4484380497114	142.6589386506628	459.3534491788716	1000.7375326116241	1346.4327246200082	946.5179792411952	1339.1606174839612
gRNA_901	Arid5b	95.9205851304948	199.47547468701512	167.834045471368	345.5751333053357	231.93058695720046	164.0784520510604	414.1016159180229	381.84901141108935
gRNA_974	Asxl2	955.3690278997282	699.9942116310393	719.8215727994228	514.4758630803362	687.738615491143	960.5597821079667	412.25294798981747	665.8156001787727
gRNA_978	Asxl2	1795.6333536428626	796.9868736348174	1151.5280342063304	484.79456328723984	708.1399171216375	683.5227977403471	1530.6970445541203	1243.429456876674
gRNA_979	Asxl2	746.2621523152495	474.89803377321493	489.5159659581567	177.38110114445658	266.82755027251994	556.5475132385214	430.73962727187205	203.29426241322784
gRNA_992	Atm	356.82457668544066	581.0409469094249	894.1824978168995	745.5659828980147	710.2874225564263	787.4116668782044	415.9502838462284	1058.420921770456
gRNA_993	Atm	395.1928107376386	417.251451638894	621.9183796077914	1663.5661836416366	381.71909103372576	522.7424050269965	632.2444314462672	388.3027975194458
gRNA_999	Atm	1617.2210653001423	1180.3823960837135	1293.2545614932635	2166.02818728191	1928.9967567991232	2037.3761558702024	1867.154607487514	2283.5646513401202
gRNA_1000	Atm	385.6007522245891	442.8721548097033	403.73412049501303	1251.5614746088947	1591.838403537267	3344.2321684376934	1401.2902895797383	2163.093977317467
gRNA_1008	Atm	1436.890365254812	1175.8072705174975	1335.2130728611055	1285.4829600867192	879.9403519047489	2654.9377668563543	2628.805793908163	3343.061204128636
gRNA_1009	Atm	1344.8066035295371	774.1112458037377	1051.7600182872395	1212.693105832221	1494.6637826130695	613.4390368140148	624.8497597334452	678.7231723954856
gRNA_1010	Atm	122.77834896703334	436.466979017001	248.95383411586255	205.64900570931022	168.57917663092812	600.2467994631758	563.8437181026651	340.9750327248319
gRNA_1011	Atm	147.717701100962	672.5434582337436	832.6433478107313	1016.2311691064882	513.2537989145454	503.77856383516536	1419.7769688617927	484.033958126733
gRNA_1014	Atm	1745.7546493750053	1125.4808892891222	1542.208395609126	633.2010622527215	927.7223478288018	1012.5042166768953	480.65366133341945	855.1266593572283
gRNA_1017	Atm	813.4065619065958	609.4067254199637	727.2808637092613	236.7437007306492	353.2646440227729	690.1189164157666	181.16945696413504	232.33629990083185
gRNA_1018	Atm	101.67582023832448	480.38818445267407	307.69575003084134	490.4481442002106	399.97288722943136	339.70011178410493	214.44547967183328	233.41193091889124
gRNA_1035	Atm	243.6382862314568	679.8636591396892	324.47915457797814	491.1548418143319	474.59870108834536	1094.9557001196392	203.35347210260053	2607.3295877760015
gRNA_1036	Atm	53.715527673077084	142.74391766593743	72.72808637092614	162.5404512479084	90.73210461983074	104.71338397228479	61.00604163078016	62.386599047445586
gRNA_1045	Atm	972.6347332232173	610.3217505332069	655.485188702065	410.59131380449907	358.6334076097452	194.58550092487565	242.17549859491518	513.075995614337
gRNA_1046	Atm	1105.0051407033	734.7651659342805	533.3393000534584	636.0278527092069	4013.150781261744	1404.148763029929	305.0302081539008	191.4623212145744
gRNA_1047	Atm	126.61517237225313	295.55311157754994	276.9261750277572	74.2032494827408	168.04230027223088	135.22043284610004	940.9719754565789	61.31096802938618
gRNA_1048	Atm	253.23034474450625	624.9621523450978	459.67880231880235	418.3649875598338	925.5748423940129	591.1771362844739	1539.9403841951478	1065.950338896872
gRNA_1049	Atm	840.2643257431345	878.4241087134611	993.0181023722607	1363.926395254188	889.604126361299	925.9301590620142	528.7190274667614	418.4204660251092
gRNA_1056	Atm	475.7661022472542	335.81421656025026	387.8831273116061	184.44807728566997	294.20824456607835	203.65516410357748	49.914034061547405	111.86562587817829
gRNA_1065	Atm	631.1574501586557	656.9880313086095	657.3500114295247	428.96545177165393	414.46854891425636	1076.8163737622356	691.4018051488418	966.9922852354066
