sgRNA	Gene	input_rep1	input_rep2	input_rep3	spleen1	spleen2	spleen3	spleen4	spleen5	spleen6	spleen7	spleen8	spleen9
gRNA_4	Abl1	2162.3996262275496	2227.2480679044925	1611.3917286770156	2329.482253986597	1894.6069435711722	2620.506502525628	918.4105109890384	3897.105835093779	3490.5065157324334	4633.747427107739	1922.6121286391697	672.1810473536893
gRNA_5	Abl1	1277.5070417517506	1802.525648640611	2320.7162232859296	547.4980746645144	2936.683261569493	3286.372908905091	658.5198770283105	491.09522488338735	2963.7787188986135	2430.087627221181	3216.429173483833	1180.9847568089126
gRNA_6	Abl1	4196.947877906264	4690.45303540003	5237.608369433477	3708.107979150321	3541.8695082373597	3633.4826226822565	1311.1775593056273	4317.1890326856665	1579.1149771204582	3094.216490860131	1817.8129480067519	3287.385434714137
gRNA_7	Abl1	2400.988411802936	3470.87972692553	3546.6224730445697	3486.0864669190637	3691.466108537282	4111.188070355781	3629.6755833237	3403.4439104287712	2815.2692589393823	3554.203730642277	2785.58809755056	3804.3580110642833
gRNA_8	Abl1	101.67707739710545	408.066638116278	241.12350806837668	84.85638949152772	1106.6748499460143	115.13044961915875	583.2883777238893	22.244731440710925	192.31440858029936	485.8392358164136	1693.6065117016642	533.3103101399931
gRNA_9	Abl1	732.8803202484432	304.4306665311915	1060.475234514317	1420.472711762286	1518.9154814543224	4390.422369805233	1129.4495220248175	396.1273329634292	517.112076404805	385.9970442357928	794.4036655346233	707.1904769033607
gRNA_10	Abl1	1400.3248976175612	1631.341231290245	1239.1719443772886	1963.3211212491824	436.89007133045425	1461.4693641954404	1381.5238963175534	1422.8072456116256	2708.4279208392163	2258.9295845115453	477.41848954768074	536.8112530949602
gRNA_11	Abl1	846.6378424848087	734.7050128442737	658.6027210670225	707.911523292334	606.8862080349112	634.0766553652176	945.7674198270098	1005.2907478013591	340.82386853953057	1297.0570424089574	455.42359978532147	949.9225217810819
gRNA_12	Abl1	1746.6309830096827	990.0936571075225	1585.6406744172862	557.9598213141549	1023.3767429608306	625.4848307667729	1377.6157664835575	592.05208296046	737.2052328911476	1911.2648102575977	891.439943897973	620.8338840141714
gRNA_13	Abl1	527.5127579810223	689.3642752757984	1119.000357831884	711.3987721755475	386.74121100263943	1093.7392713820082	643.8643901508259	396.98289955730263	504.291115832785	541.1090204414	878.5017734495264	1143.6413652892631
gRNA_14	Abl1	1500.9952712780616	1131.6677968621495	1829.1051874183656	2481.758788553585	1536.7650758082905	464.81771077585734	1000.4812375029525	1061.7581429970098	769.2576343211974	797.8460845058535	1151.4971699117502	579.9895495395549
gRNA_15	Abl1	3471.1144838140553	3788.2648899048572	3226.6851322418693	1643.656640287948	4293.252432471059	2849.9082193041013	4453.3139458383375	3423.121942087862	5984.183346990316	1928.2023249007386	826.7490916557399	2615.2043873604475
gRNA_16	Abl1	1154.68918588594	1200.141563802296	2521.2623125207933	6729.227928307589	2242.2490431317865	2787.187899735455	5250.572431973503	3928.7617990670988	4184.9752133835145	1854.2121293543858	7881.933437193689	3167.1863932602655
gRNA_17	Abl1	1050.9987010156246	1099.28155574181	1045.6488699405331	704.4242744091206	1552.9147087952138	1003.5251130983389	1536.8720572188909	614.2968144011709	2353.7146783466637	4101.552888057466	890.1461268531284	1901.0120245471528
gRNA_18	Abl1	958.3819572479642	1328.7612071087872	729.6132040256706	459.1544362897733	61.198609213604485	1812.0158078119837	670.2442665302982	1018.979813303335	947.6826689484752	740.7934036026417	477.41848954768074	1948.8582449317034
gRNA_19	Abl1	553.6870551327524	817.9839185822897	487.7093609797263	1229.8364394799498	955.3782882790478	2442.655733337823	3373.6930791969676	1723.1111200612231	1291.7117776310108	1099.1555555259413	796.9912996243125	3247.7080812245094
gRNA_20	Abl1	118.79104091939053	731.0037281448064	395.62983362675396	58.120814720224466	6435.203754947216	1878.1728572200077	1535.8950247603918	1509.2194715928488	157.05676700724447	839.7441470441497	703.8364723954968	493.6329566503656
gRNA_21	Abl1	233.55526689236103	789.2989621614175	710.8851645640491	612.5933871511659	647.6852808439808	602.2869043509722	788.4651940086744	60.7452281650183	842.9781576103122	960.981093963475	633.970351973885	906.7442253364871
gRNA_22	Abl1	858.7182873240688	996.5709053315904	479.9060112040507	405.6832867471668	702.084044589407	419.2810404041005	1396.179383195038	1236.2937281472034	613.2692806949547	1224.8497431408298	1031.1721847411966	619.6669030291823
gRNA_23	Abl1	234.56197062896604	681.9617058768637	406.55452331269987	721.8605188251879	328.9425245231241	266.34656255178515	1146.0590738193	98.39015829545217	2452.008709398817	848.6586284352766	542.109341789914	920.7479971563557
gRNA_24	Actg1	1566.431014157387	1397.2349740489337	1573.9356497537729	3942.9160706200278	757.3327890183555	1669.391519477802	2018.5490592588865	1586.2204650414635	2385.7670797767137	952.0666125723482	1612.0960378764505	2959.4637779322156
gRNA_25	Actg1	1911.7303958129035	2188.3845785600847	2203.6659766507955	455.66718740655983	1045.47624073241	310.16486800385303	3528.064207639806	776.8544672371354	1353.6797537291072	2485.357411846167	518.82063498271	1110.9658977095698
gRNA_26	Actg1	537.5797953470724	344.2194770504658	447.91227712378065	1957.50903977716	1201.022705816988	511.21356360745864	241.32701724924732	2266.3959071708937	689.1266307460727	45.46385509474696	597.7434747182344	906.7442253364871
gRNA_27	Actg1	84.56311387482037	262.79121366218357	206.0084340778364	468.4537666450092	451.33974295033306	140.9059234144928	284.3164454232023	17.111331877469944	447.66520663969686	533.085987189386	294.99028622458326	319.7527898869981
gRNA_28	Actg1	1644.9539056125773	1499.0203032842865	2125.632478894039	849.7263112096817	1206.972570601644	1466.6244589545074	1013.1826594634392	384.1494006492002	707.289658223101	1995.0609353341902	1170.9044255844203	1262.6734257581456
gRNA_29	Actg1	1453.6801956576264	1536.958471453827	968.3957071613446	4619.442353963441	1526.565307606023	3107.6629572574416	1184.1633397007602	6563.0513416035965	3550.337665068527	2341.834261449025	1562.9309901723532	5075.200303717353
gRNA_30	Actg1	694.6255782574531	854.0714444020965	1781.5047537867442	2565.452761750708	3144.928529032453	3264.8933474089795	1270.14219604867	1190.948698671908	819.4730632282757	2470.2027934812513	2749.3612202949093	1790.1488309731935
gRNA_31	Actg1	1873.4756538219133	2244.8291702269626	1906.3583501975543	5593.547208674403	1012.3269940750408	4738.391266042243	2622.3551186112545	2073.893423549357	1484.0261862113102	6635.048499415718	2865.8047543309294	938.2527119311914
gRNA_32	Acvr1	592.9485008603476	1036.3597158508646	1166.6007914635054	67.42014507546038	2249.898869283487	821.3784316113117	1563.2519335983632	896.6337903794249	2870.826754751469	729.2045777941768	1234.3014607818088	142.37168016866337
gRNA_33	Acvr1	1309.7215613231108	1676.6819688587204	1874.3646161172842	1785.4714282052955	541.4376954036952	1765.6199549803823	848.0641739771121	790.5435327391114	1147.4759711957863	2902.555140950904	1195.4869494364689	611.4980361342591
