sgRNA	Gene	input_rep1	input_rep2	input_rep3	bonemarrow1	bonemarrow2	bonemarrow3	bonemarrow4	bonemarrow5	bonemarrow6	bonemarrow7	bonemarrow8	bonemarrow9	bonemarrow10
gRNA_4	Abl1	1484.858427905163	1530.5790858565779	1083.8749012589376	899.4808459441252	9050.540209111636	6095.301036140048	1218.458024391573	3508.6959636034217	2308.4521911169913	8282.268530102143	6125.408243882009	2101.5875246344162	1297.8533270999312
gRNA_5	Abl1	877.2278142512345	1238.7071288943139	1560.9898093675936	449.7404229720626	1482.2599208384968	1179.8315511202336	952.3071787153294	504.4482239107255	4016.4709279722483	198.78264194479968	1222.572378216778	1274.3146420995033	2327.2869888223768
gRNA_6	Abl1	2881.9249468978696	3223.3092589144135	3522.987088256654	4055.308119886899	1486.2850665841547	3988.2467042905632	845.3163071976369	1820.6970712135662	1690.8634953049213	1253.1503664870618	2712.8002827934433	3459.415462476755	4745.276227209123
gRNA_7	Abl1	1648.6905728835259	2385.2106983996773	2385.5745405432795	1017.9676995883231	5234.702042228011	1219.9517675940954	1886.0456937788279	1544.5677726318731	5274.164574131204	447.7732707725642	2659.8267932013823	2137.9403710165916	2895.0978194285967
gRNA_8	Abl1	69.81876220596902	280.4259978657045	162.1875760237345	16.56267846639324	755.7211137472581	225.86195940840744	329.8148353396638	5.854331418693139	42.88810387583821	2.0493055870597905	195.16548797075131	137.55131063525866	78.16616629124586
gRNA_9	Abl1	503.24810778163805	209.20669682044624	713.3104071723469	1637.1570637934858	3039.991324408078	537.9080875384441	2178.7232018148297	1048.9010458491875	159.75818693749733	110.66250170122869	107.34101838391322	893.1010097675008	469.7344144106001
gRNA_10	Abl1	961.5633487970584	1121.0681048463425	833.5076722514252	276.46932516979484	327.0430918346989	2130.829274945107	4314.1195217753875	214.6588186854151	1763.7732718938464	350.43125538722416	227.22838956594617	662.2113097726024	294.9666652499844
gRNA_11	Abl1	581.3621684675242	504.89397348156325	442.9977804661227	352.9124565531483	366.28826285486275	59.43735773905459	882.4536345012988	251.736251003805	173.69682069714474	2135.3764217163016	529.7348959206107	68.77565531762933	656.3008301812152
gRNA_12	Abl1	1199.361905221349	680.3986796288069	1066.5538979942671	36.94751350195415	348.17510699940254	2050.5888419973835	949.6545124793536	95.62074650532128	308.7943479060351	307.3958380589686	519.9766215220732	418.54898807585846	3128.121484976084
gRNA_13	Abl1	362.22803362304717	473.7355292742628	752.6763236829621	402.600491952328	397.48314238371097	181.2839411041165	2726.0566685045133	32.198822802812266	580.0616049207117	1736.7864850331725	814.1188926779912	42.24790255225801	474.8963310524748
