sgRNA	Gene	input_rep1	input_rep2	input_rep3	meninges1	meninges2	meninges3	meninges4	meninges5	meninges6	meninges7	meninges8	meninges9	meninges10
gRNA_4	Abl1	645.5290146991894	654.9467566843751	461.6974185043591	1107.7851486479965	233.0753320384914	11100.996570759251	380.83294978098525	10498.242016574632	208.20181154889073	4961.4401320091065	3363.5382058904715	291.3724990146636	1335.4600942994082
gRNA_5	Abl1	381.3670017007781	530.0524644873963	664.9337155602731	54.57069697773382	21517.74485165233	1687.8237474033283	83.4205509044063	257.3192665485642	836.4471380058583	271.8148719186507	52.38167097422632	6053.3455132372255	686.3178214814945
gRNA_6	Abl1	1252.891276667095	1379.2792312559607	1500.6842968529095	2095.5147639449788	3991.055377004785	694.9862489307823	7489.714679026043	31690.59593918623	768.0171719723068	442.1085266146728	153.97036619696826	72.02466267778202	188.737400907411
gRNA_7	Abl1	716.7535847567815	1020.6503050781433	1016.18148527957	2859.504521633252	713.6133622906898	17734.224398392045	600.2652684643149	401.3412440944024	476.82582714868335	408.0497956754684	6944.539712492126	2908.814217691333	205.89534644444836
gRNA_8	Abl1	30.353086817792423	119.9964768167052	69.08692606191136	5.457069697773382	1562.4679666284053	367.61820889388866	110.62290446019095	364.8556764494567	274.4478424962651	6936.846526482963	900.0123467389794	207.8893672745072	1913.110927379666
gRNA_9	Abl1	218.78264557775134	89.52118111722451	303.84832530141597	27.28534848886691	126.60882234189657	48.30020262839413	583.943856330844	391.73977892467985	246.0566863759618	87.11175413296516	422.2280145195212	49.1077245530332	3494.50157437661
gRNA_10	Abl1	418.03112637177486	479.7138064123612	355.048668564127	3724.450068730333	543.8424414231466	584.9691207216623	43.523765689255455	722.0301807631354	697.4032708525781	247.58077490421678	133.3351624798488	18.006165669445505	91.50904286419927
gRNA_11	Abl1	252.74203974023197	216.0480784409613	188.7034485315637	13.642674244433454	348.17426144021556	126.11719575191802	1234.9868514326236	251.55838744673068	1564.4255000649168	15196.74375483502	2273.047055608851	216.07398803334607	114.38630358024909
gRNA_12	Abl1	521.4119369195035	291.1479142718244	454.31920309968893	556.621109172885	215.8104926282328	45.61685803792779	159.58714086060334	405.1818301622914	470.2740218901518	191.90784933051725	534.9279732822506	63.84004191894316	1023.7574170432293
gRNA_13	Abl1	157.4754207180518	202.7151365724385	320.6169966756663	914.0591743770415	1677.5668960301296	27066.896884033977	1354.6772070780762	583.7690823191307	1752.971895838213	673.9698872392568	138.09713256841482	47917.68069469803	2670.9201885988164
gRNA_14	Abl1	448.0836875775099	332.77934500415074	524.0768760165703	354.7095303552698	31.652205585474142	1194.0883427575216	3782.9406344911204	6465.626645291162	264.25614542743824	2454.8485300026573	506.3561527508544	430.5110519149244	54.33349420061832
gRNA_15	Abl1	1036.2123103737454	1113.980898157803	924.5127484336682	8330.216893651068	4719.05610547069	16958.737811747273	1296.6455194924022	142.10168451189367	4480.706818473505	15212.463169114653	18993.911359927035	1684.3949521690388	25116.372608633195
gRNA_16	Abl1	344.7028770297813	352.91480823416475	722.3943628027042	2387.467992775855	656.0638975898277	230.7676347801053	2495.3625661839797	1163.6975785703726	977.6749402453156	206.97228801516536	655.5645488592567	6000.963940380657	386.05377458334067
gRNA_17	Abl1	313.74873898787416	323.255815098063	299.6002618866059	111.86992880435433	256.09511791883625	1864.9244903741067	6835.044703450159	418.623881399903	171.07491508387875	755.1868610173597	580.9603508050556	199.70474651566835	6108.228611185302
gRNA_18	Abl1	286.1003826785979	390.73682700405595	209.0494364656541	180.0833000265216	57.549464700862075	5401.572660608744	4524.658141445515	378.2977276870683	786.9446093858422	145.4045820866035	44.4450541599496	2064.161355379162	134.40390670679267
gRNA_19	Abl1	165.28908663154292	240.5371553423297	139.73892811875274	412.00876218189035	138.118715282069	332.73472921782627	616.5866805977856	353.3339182457897	1086.8716945541744	10188.800355582001	1946.0584428606505	137.50162874849295	77.21075491666814
