sgRNA	gene	spleen1	spleen2	spleen3	spleen4	bonemarrow1	bonemarrow2	bonemarrow3	bonemarrow4	bonemarrow5	meninges1	meninges2	meninges3	meninges4	meninges5	input_rep1	input_rep2	input_rep3	d5_rep1	d5_rep2	d5_rep3	d15_rep1	d15_rep2	d15_rep3	plasmidlib
gRNA_1	Abl1	62.0	180.0	160.0	233.0	339.0	178.0	500.0	114.0	205.0	77.0	74.0	84.0	773.0	248.0	24.0	365.0	404.0	321.0	388.0	525.0	521.0	253.0	178.0	212.0
gRNA_2	Abl1	65.0	247.0	274.0	20.0	258.0	199.0	334.0	22.0	238.0	139.0	40.0	2971.0	167.0	65.0	2.0	262.0	56.0	142.0	128.0	121.0	180.0	23.0	18.0	121.0
gRNA_3	Abl1	75.0	158.0	83.0	88.0	244.0	339.0	113.0	57.0	216.0	107.0	75.0	39.0	181.0	16.0	2.0	216.0	145.0	206.0	46.0	259.0	315.0	198.0	98.0	145.0
gRNA_67	Ago2	89.0	91.0	72.0	26.0	79.0	77.0	84.0	41.0	53.0	247.0	17.0	425.0	18.0	11.0	31.0	197.0	56.0	72.0	91.0	88.0	31.0	41.0	68.0	456.0
gRNA_84	Akt1	237.0	588.0	389.0	388.0	660.0	729.0	431.0	154.0	516.0	296.0	46.0	88.0	480.0	34.0	265.0	505.0	331.0	503.0	1028.0	426.0	589.0	458.0	880.0	796.0
gRNA_85	Akt1	123.0	244.0	57.0	117.0	3950.0	134.0	903.0	77.0	724.0	13.0	35.0	95.0	82.0	144.0	94.0	231.0	69.0	162.0	115.0	159.0	173.0	76.0	172.0	427.0
gRNA_95	Akt1	108.0	163.0	89.0	63.0	399.0	292.0	129.0	11.0	61.0	16.0	0.0	1.0	12.0	312.0	15.0	134.0	86.0	65.0	231.0	198.0	225.0	110.0	162.0	323.0
gRNA_120	Akt3	353.0	1071.0	694.0	870.0	3338.0	1315.0	1122.0	238.0	812.0	163.0	925.0	1981.0	618.0	493.0	249.0	806.0	424.0	299.0	1094.0	618.0	838.0	519.0	818.0	769.0
gRNA_121	Akt3	103.0	225.0	313.0	123.0	256.0	419.0	299.0	69.0	348.0	372.0	315.0	21.0	1579.0	1466.0	92.0	413.0	246.0	550.0	500.0	153.0	247.0	343.0	537.0	384.0
gRNA_122	Akt3	96.0	301.0	45.0	153.0	289.0	209.0	209.0	199.0	382.0	2205.0	72.0	622.0	17.0	147.0	68.0	399.0	236.0	257.0	299.0	436.0	289.0	202.0	220.0	477.0
gRNA_196	Alk	300.0	2015.0	333.0	357.0	400.0	3328.0	2509.0	262.0	263.0	1058.0	475.0	251.0	60.0	315.0	82.0	600.0	482.0	811.0	208.0	593.0	431.0	344.0	581.0	330.0
gRNA_197	Alk	266.0	667.0	1223.0	988.0	519.0	1298.0	1164.0	2450.0	917.0	132.0	104.0	881.0	330.0	93.0	160.0	821.0	634.0	816.0	805.0	749.0	613.0	611.0	574.0	459.0
gRNA_198	Alk	594.0	2000.0	795.0	728.0	802.0	1668.0	1040.0	414.0	823.0	7507.0	423.0	355.0	643.0	347.0	72.0	695.0	639.0	665.0	954.0	968.0	1295.0	781.0	769.0	440.0
gRNA_235	Amer1	271.0	1167.0	567.0	288.0	2271.0	714.0	1112.0	709.0	977.0	532.0	212.0	202.0	597.0	43.0	532.0	958.0	1492.0	735.0	1321.0	934.0	929.0	805.0	935.0	651.0
